k = 291, real = 0.99377950319298458126, imag = -0.11136560974333516161
k = 292, real = 0.99373672194072459884, imag = -0.11174671121112658700
k = 293, real = 0.99369379454103179405, imag = -0.11212779624448963867
k = 294, real = 0.99365072100021911705, imag = -0.11250886478737869012
k = 295, real = 0.99360750132462161144, imag = -0.11288991678375051575
k = 296, real = 0.99356413552059530403, imag = -0.11327095217756434631
k = 297, real = 0.99352062359451809304, imag = -0.11365197091278186892
k = 298, real = 0.99347696555278919295, imag = -0.11403297293336719931
k = 299, real = 0.99343316140182935658, imag = -0.11441395818328692346
k = 300, real = 0.99338921114808065305, imag = -0.11479492660651008373
k = 301, real = 0.99334511479800691180, imag = -0.11517587814700819271
k = 302, real = 0.99330087235809327861, imag = -0.11555681274875526099
k = 303, real = 0.99325648383484643755, imag = -0.11593773035572778329
k = 304, real = 0.99321194923479450001, imag = -0.11631863091190475235
k = 305, real = 0.99316726856448722671, imag = -0.11669951436126768662
k = 306, real = 0.99312244183049558366, imag = -0.11708038064780058873
k = 307, real = 0.99307746903941229721, imag = -0.11746122971548998704
k = 308, real = 0.99303235019785141002, imag = -0.11784206150832497728
k = 309, real = 0.99298708531244839204, imag = -0.11822287597029716710
k = 310, real = 0.99294167438986047358, imag = -0.11860367304540071764
k = 311, real = 0.99289611743676597921, imag = -0.11898445267763234356
k = 312, real = 0.99285041445986510489, imag = -0.11936521481099135467
k = 313, real = 0.99280456546587914080, imag = -0.11974595938947960039
k = 314, real = 0.99275857046155113750, imag = -0.12012668635710149756
k = 315, real = 0.99271242945364546184, imag = -0.12050739565786412755
k = 316, real = 0.99266614244894801899, imag = -0.12088808723577708359
k = 317, real = 0.99261970945426614144, imag = -0.12126876103485259573
k = 318, real = 0.99257313047642881099, imag = -0.12164941699910553075
k = 319, real = 0.99252640552228610371, imag = -0.12203005507255336448
k = 320, real = 0.99247953459870996706, imag = -0.12241067519921619566
k = 321, real = 0.99243251771259366478, imag = -0.12279127732311677368
k = 322, real = 0.99238535487085166586, imag = -0.12317186138828048469
k = 323, real = 0.99233804608042042172, imag = -0.12355242733873536554
k = 324, real = 0.99229059134825736699, imag = -0.12393297511851215920
k = 325, real = 0.99224299068134169666, imag = -0.12431350467164423157
k = 326, real = 0.99219524408667392201, imag = -0.12469401594216764084
k = 327, real = 0.99214735157127609266, imag = -0.12507450887412116525
k = 328, real = 0.99209931314219179654, imag = -0.12545498341154623367
k = 329, real = 0.99205112880648571583, imag = -0.12583543949848699506
k = 330, real = 0.99200279857124451510, imag = -0.12621587707899034614
k = 331, real = 0.99195432244357595319, imag = -0.12659629609710584819
k = 332, real = 0.99190570043060932726, imag = -0.12697669649688586579
k = 333, real = 0.99185693253949547277, imag = -0.12735707822238540032
k = 334, real = 0.99180801877740643047, imag = -0.12773744121766231197
k = 335, real = 0.99175895915153611249, imag = -0.12811778542677712545
k = 336, real = 0.99170975366909952520, imag = -0.12849811079379316880
k = 337, real = 0.99166040233733321330, imag = -0.12887841726277654564
k = 338, real = 0.99161090516349537083, imag = -0.12925870477779613510
k = 339, real = 0.99156126215486528608, imag = -0.12963897328292356415
k = 340, real = 0.99151147331874389668, imag = -0.13001922272223334631
k = 341, real = 0.99146153866245378961, imag = -0.13039945303980268743
k = 342, real = 0.99141145819333853506, imag = -0.13077966417971170765
k = 343, real = 0.99136123191876346361, imag = -0.13115985608604327495
k = 344, real = 0.99131085984611544415, imag = -0.13154002870288311611
k = 345, real = 0.99126034198280243981, imag = -0.13192018197431978899
k = 346, real = 0.99120967833625406307, imag = -0.13230031584444465476
k = 347, real = 0.99115886891392135372, imag = -0.13268043025735207219
k = 348, real = 0.99110791372327688986, imag = -0.13306052515713906459
k = 349, real = 0.99105681277181434385, imag = -0.13344060048790568063
k = 350, real = 0.99100556606704937046, imag = -0.13382065619375471677
k = 351, real = 0.99095417361651849664, imag = -0.13420069221879202259
k = 352, real = 0.99090263542778000971, imag = -0.13458070850712616773
k = 353, real = 0.99085095150841362432, imag = -0.13496070500286874716
k = 354, real = 0.99079912186602037139, imag = -0.13534068165013421470
k = 355, real = 0.99074714650822270912, imag = -0.13572063839303991073
k = 356, real = 0.99069502544266463406, imag = -0.13610057517570620100
k = 357, real = 0.99064275867701157008, imag = -0.13648049194225628233
k = 358, real = 0.99059034621895014627, imag = -0.13686038863681637689
k = 359, real = 0.99053778807618875213, imag = -0.13724026520351559344
k = 360, real = 0.99048508425645709341, imag = -0.13762012158648603832
k = 361, real = 0.99043223476750597012, imag = -0.13799995772986278775
k = 362, real = 0.99037923961710816467, imag = -0.13837977357778388776
k = 363, real = 0.99032609881305733168, imag = -0.13875956907439035426
k = 364, real = 0.99027281236316910817, imag = -0.13913934416382620074
k = 365, real = 0.99021938027528000337, imag = -0.13951909879023849381
k = 366, real = 0.99016580255724839787, imag = -0.13989883289777721442
k = 367, real = 0.99011207921695376655, imag = -0.14027854643059542439
k = 368, real = 0.99005821026229712256, imag = -0.14065823933284921088
k = 369, real = 0.99000419570120090640, imag = -0.14103791154869771418
k = 370, real = 0.98995003554160898585, imag = -0.14141756302230301667
k = 371, real = 0.98989572979148665599, imag = -0.14179719369783039262
k = 372, real = 0.98984127845882052821, imag = -0.14217680351944803063
k = 373, real = 0.98978668155161864117, imag = -0.14255639243132733895
k = 374, real = 0.98973193907791057189, imag = -0.14293596037764266793
k = 375, real = 0.98967705104574721364, imag = -0.14331550730257150428
k = 376, real = 0.98962201746320088702, imag = -0.14369503315029447110
k = 377, real = 0.98956683833836511788, imag = -0.14407453786499516135
k = 378, real = 0.98951151367935519243, imag = -0.14445402139086047089
k = 379, real = 0.98945604349430771318, imag = -0.14483348367208020990
k = 380, real = 0.98940042779138037687, imag = -0.14521292465284746376
k = 381, real = 0.98934466657875264062, imag = -0.14559234427735834316
k = 382, real = 0.98928875986462516678, imag = -0.14597174248981220623
k = 383, real = 0.98923270765722004505, imag = -0.14635111923441146420
k = 384, real = 0.98917650996478101444, imag = -0.14673047445536174793
k = 385, real = 0.98912016679557268617, imag = -0.14710980809687182469
k = 386, real = 0.98906367815788154285, imag = -0.14748912010315357035
k = 387, real = 0.98900704406001527236, imag = -0.14786841041842221922
k = 388, real = 0.98895026451030298986, imag = -0.14824767898689603096
k = 389, real = 0.98889333951709512682, imag = -0.14862692575279654039
k = 390, real = 0.98883626908876354200, imag = -0.14900615066034844647
k = 391, real = 0.98877905323370152146, imag = -0.14938535365377972330
k = 392, real = 0.98872169196032377858, imag = -0.14976453467732150915
k = 393, real = 0.98866418527706623198, imag = -0.15014369367520818965
k = 394, real = 0.98860653319238644965, imag = -0.15052283059167739787
k = 395, real = 0.98854873571476320482, imag = -0.15090194537097004202
k = 396, real = 0.98849079285269658701, imag = -0.15128103795733022219
k = 397, real = 0.98843270461470833510, imag = -0.15166010829500531365
k = 398, real = 0.98837447100934128219, imag = -0.15203915632824605009
k = 399, real = 0.98831609204515968869, imag = -0.15241818200130632932
k = 400, real = 0.98825756773074946437, imag = -0.15279718525844343535
k = 401, real = 0.98819889807471761323, imag = -0.15317616604391784407
k = 402, real = 0.98814008308569256656, imag = -0.15355512430199344531
k = 403, real = 0.98808112277232407195, imag = -0.15393405997693734855
k = 404, real = 0.98802201714328352633, imag = -0.15431297301302010494
k = 405, real = 0.98796276620726342088, imag = -0.15469186335451542980
k = 406, real = 0.98790336997297778510, imag = -0.15507073094570050786
k = 407, real = 0.98784382844916174271, imag = -0.15544957573085585456
k = 408, real = 0.98778414164457217783, imag = -0.15582839765426523271
k = 409, real = 0.98772430956798695778, imag = -0.15620719666021590233
k = 410, real = 0.98766433222820571025, imag = -0.15658597269299842636
k = 411, real = 0.98760420963404915717, imag = -0.15696472569690678167
k = 412, real = 0.98754394179435922574, imag = -0.15734345561623824805
k = 413, real = 0.98748352871799971453, imag = -0.15772216239529363024
k = 414, real = 0.98742297041385540535, imag = -0.15810084597837698039
k = 415, real = 0.98736226689083239627, imag = -0.15847950630979595887
k = 416, real = 0.98730141815785843473, imag = -0.15885814333386144570
k = 417, real = 0.98724042422388225138, imag = -0.15923675699488784585
k = 418, real = 0.98717928509787433722, imag = -0.15961534723719306150
k = 419, real = 0.98711800078882627751, imag = -0.15999391400509826999
k = 420, real = 0.98705657130575097380, imag = -0.16037245724292828464
k = 421, real = 0.98699499665768297696, imag = -0.16075097689501122167
k = 422, real = 0.98693327685367771007, imag = -0.16112947290567880554
k = 423, real = 0.98687141190281246761, imag = -0.16150794521926611913
k = 424, real = 0.98680940181418552726, imag = -0.16188639378011182579
k = 425, real = 0.98674724659691659401, imag = -0.16226481853255800281
k = 426, real = 0.98668494626014668913, imag = -0.16264321942095030793
k = 427, real = 0.98662250081303848326, imag = -0.16302159638963784061
k = 428, real = 0.98655991026477540817, imag = -0.16339994938297322524
k = 429, real = 0.98649717462456287809, imag = -0.16377827834531266671
k = 430, real = 0.98643429390162717940, imag = -0.16415658322101581157
k = 431, real = 0.98637126810521602582, imag = -0.16453486395444599788
k = 432, real = 0.98630809724459866938, imag = -0.16491312048996989437
k = 433, real = 0.98624478132906545635, imag = -0.16529135277195800002
k = 434, real = 0.98618132036792827133, imag = -0.16566956074478411676
k = 435, real = 0.98611771437052009315, imag = -0.16604774435282579348
k = 436, real = 0.98605396334619543897, imag = -0.16642590354046410406
